Date,Close,High,Low,Open,Volume,Ticker
,META,META,META,META,META,
2019-01-02,134.7388153076172,136.55612288454407,127.66820977347417,128.09523485310643,28146200,META
2019-01-03,130.8261260986328,136.21845095741136,130.21041672981713,133.7556589409655,22717900,META
2019-01-04,136.99305725097656,137.04271343860773,132.82219508995496,133.08038605151967,29002100,META
2019-01-07,137.09237670898438,137.90668064703007,134.96722208386868,136.60577028976442,20089300,META
2019-01-08,141.54129028320312,142.14705941392765,138.57202599441553,138.91960415987464,26263800,META
2019-01-09,143.2294921875,143.69623307471448,140.29003378391613,141.9583725827706,22205900,META
2019-01-10,143.19972229003906,143.55722567781714,139.86302905509118,142.08749626270415,16125000,META
2019-01-11,142.80250549316406,144.3516818158532,141.58104187765048,142.157005256748,12908000,META
2019-01-14,144.38145446777344,145.5532768942952,140.2900390339963,141.01497090922715,20520300,META
2019-01-15,147.91676330566406,149.63475843015624,144.97730466573054,144.99715501997423,24069000,META
2019-01-16,146.5165252685547,148.61188904658937,145.98027785393614,147.9664040832414,18025700,META
2019-01-17,147.271240234375,147.9663812769003,145.48372387292545,145.9305991750533,15787900,META
2019-01-18,148.99917602539062,151.37259615131458,147.51952175225043,148.71119440302223,31029600,META
2019-01-22,146.54635620117188,150.4788783230586,145.3546681371401,148.1650390512821,22378700,META
2019-01-23,143.2990264892578,147.76781100460093,142.06762263441516,147.25141388444857,20098400,META
2019-01-24,144.8184051513672,145.42417429642154,141.5313684547223,143.63665754438068,20955500,META
2019-01-25,147.97633361816406,148.79065266957753,145.52346644048444,146.4569482202253,22237200,META
2019-01-28,146.44703674316406,147.92670642105566,145.19578251985507,147.0230152388613,15508500,META
2019-01-29,143.18975830078125,147.07263831918004,142.43502071285243,147.06269799116686,17632100,META
2019-01-30,149.37655639648438,149.90287865090156,144.68929714160828,145.20569421963796,44613200,META
2019-01-31,165.53369140625,170.4890666025974,163.85541233423493,164.4512562584447,77233600,META
2019-02-01,164.56051635742188,167.9270001387855,164.51086016477612,164.6896042747698,30806500,META
2019-02-04,168.07594299316406,168.12559918268684,162.484992448202,164.55056567822874,20036000,META
2019-02-05,169.9727020263672,170.78700597600024,167.51983469458017,167.97663528382893,22557000,META
2019-02-06,169.30734252929688,171.27360333079847,168.0958042695481,170.0124088827765,13281200,META
2019-02-07,165.22584533691406,168.0660064418633,164.10367917200116,167.0332123202778,17517600,META
2019-02-08,166.1692352294922,166.20895108258657,163.07088348820523,163.32907441566616,12561400,META
2019-02-11,164.63992309570312,167.13252115057335,163.93485678714177,166.73528682263577,12811200,META
2019-02-12,163.89512634277344,167.17223758308776,163.35887893938468,165.7025084470035,16292300,META
2019-02-13,162.931884765625,165.06696456175467,162.59423176497805,164.23279511932705,14205100,META
2019-02-14,162.81268310546875,163.72629928800146,161.12447896050742,162.057960646752,12755200,META
2019-02-15,161.3727569580078,163.55749279085117,159.74413404774924,163.36880837362978,15504400,META
2019-02-19,161.16419982910156,163.01129775534545,159.217804687088,159.38662359154245,14345400,META
2019-02-20,161.4323272705078,162.58428404726115,160.13141709716552,161.1244801489309,11770700,META
2019-02-21,158.9298095703125,161.11456048123455,158.4829342123294,160.80669819619362,15607800,META
2019-02-22,160.76698303222656,161.28338008184417,159.19794153169087,159.4660728088112,15858500,META
2019-02-25,163.47804260253906,164.91799621927018,161.76997285904065,161.93880692055532,18737100,META
2019-02-26,162.99147033691406,165.0868343268106,162.66375765759085,163.2000051264293,13784100,META
2019-02-27,161.6805877685547,162.7928135013732,159.29724258310384,161.76995980359777,12697500,META
2019-02-28,160.33004760742188,162.36583015989265,159.74414396709827,161.24366391596246,11114200,META
2019-03-01,161.15428161621094,161.9983913278936,160.56837801315342,161.47206908746014,11097800,META
2019-03-04,166.20896911621094,166.3380721704185,162.69353234778373,162.76303888647507,18894700,META
2019-03-05,170.0719757080078,170.6876851146643,165.39465713959575,166.20896097648483,28187900,META
2019-03-06,171.3133087158203,172.36596832285446,170.08192017840042,171.70060271596694,21531700,META
2019-03-07,167.95675659179688,170.54865172903757,166.44729653008218,170.3103111446807,18306500,META
2019-03-08,168.4235076904297,168.4433580422972,164.81868379128719,165.04708406128657,13184800,META
2019-03-11,170.8763885498047,173.09091519700462,170.38978213684817,170.40964764325946,18884000,META
2019-03-12,170.72740173339844,172.59436516003404,170.0322606127171,170.89622063749675,12155300,META
2019-03-13,172.16737365722656,172.82279904979646,170.92604457415158,171.1246693497979,11973300,META
2019-03-14,168.98953247070312,169.96272998849176,166.99348125348644,168.5823729953745,18037400,META
2019-03-15,164.82862854003906,166.41753574865888,161.3826979642868,166.00045101580815,37135400,META
2019-03-18,159.3568572998047,162.76305689608992,158.1751096348266,162.4353593656645,37524200,META
2019-03-19,160.44920349121094,162.6835953429783,159.70440620728849,160.3598163009062,25611500,META
2019-03-20,164.29237365722656,164.96764934100926,160.12151136396588,160.37970233371666,20211500,META
2019-03-21,164.9279327392578,165.23577989682886,162.61409373975295,163.74618514501432,16223000,META
2019-03-22,163.20001220703125,166.2586488604745,162.9517463924947,164.50092265073184,16389200,META
2019-03-25,165.13645935058594,165.38472513027486,160.87622523841802,161.86928835717367,12631200,META
2019-03-26,166.51683044433594,168.27455655476712,165.19606972021415,166.18913292225227,15437900,META
2019-03-27,164.71939086914062,167.76810221715652,163.64688077698563,166.68566694789587,10620300,META
2019-03-28,164.401611328125,165.56349342223425,162.19700987173064,163.42841366136489,10443000,META
2019-03-29,165.53369140625,166.03022295877798,163.66672791980383,165.23576944414512,13455500,META
